Name,Description,Type,Oxygen production kg/year for 1m2 leaves surface,Plant Type,Water requirement liters/day,Sunlight requirement,realHeight
Rozmaryn,"Zioło o charakterystycznym zapachu, stosowane w kuchni i ogrodach.",zioło,1.0 kg,Zioło,0.4,Musi być na słońcu,2.79
Koper,"Aromatyczne zioło, często używane do marynat i przyprawiania potraw.",zioło,1.2 kg,Zioło,0.5,Musi być na słońcu,3.6
Szałwia,"Zioło o srebrzystych liściach, stosowane w kuchni i medycynie.",zioło,0.9 kg,Zioło,0.3,Musi być na słońcu,3.05
Mięta,"Zioło o intensywnym, świeżym zapachu, często używane w napojach i kuchni.",zioło,1.4 kg,Zioło,0.5,Może być na słońcu lub w cieniu,2.77
Rumianek,"Zioło o drobnych, białych kwiatach, stosowane do herbatek i kosmetyków.",zioło,1.0 kg,Zioło,0.3,Musi być na słońcu,2.18
Laur,"Zioło o aromatycznych liściach, stosowane jako przyprawa w kuchni.",zioło,1.1 kg,Zioło,0.4,Może być na słońcu lub w cieniu,3.26
Estragon,"Aromatyczne zioło, dodawane do potraw dla nadania wyrazistego smaku.",zioło,0.8 kg,Zioło,0.4,Musi być na słońcu,2.24
Nagietek,"Kwiat o pomarańczowych płatkach, stosowany w kosmetykach i medycynie naturalnej.",zioło,0.7 kg,Dekoracyjna,0.5,Musi być na słońcu,4.47
Agawa,"Sukulent o grubych, mięsistych liściach, popularny w ogrodach i jako roślina doniczkowa.",zioło,1.1 kg,Dekoracyjna,0.3,Musi być na słońcu,4.82
Aloes,"Sukulent o grubych liściach, znany ze swoich właściwości leczniczych.",zioło,1.3 kg,Zioło,0.2,Musi być na słońcu,1.98
Czosnek,"Roślina bulwiasta, o intensywnym zapachu, często uprawiana w ogrodach.",krzew,1.2 kg,Zioło,0.4,Musi być na słońcu,3.98
Dynia,"Pnąca roślina o dużych, pomarańczowych owocach, popularna w kuchni i ozdobnictwie jesiennym.",krzew,1.0 kg,Hodowlana,1.0,Musi być na słońcu,2.69
